[2023-05-12 10:28:45:0475] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 10:28:45:0475] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2023-05-12 10:28:45:0488] | GigEVisionManager.cpp-L2308: AppGetCount[166], AppGetCountSucceed[164], ExpectRecv[164], NetRecv[164], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:28:45:0527] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 10:28:56:0505] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:28:56:0505] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:28:56:0505] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:56:0506] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:56:0506] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[51157], devIP[a9fe84d8]
[2023-05-12 10:28:56:0507] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe84d8]
[2023-05-12 10:28:56:0507] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:56:0509] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:28:56:0945] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:57:0156] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:28:57:0158] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[10972]
[2023-05-12 10:29:22:0920] | GigEVisionManager.cpp-L2308: AppGetCount[482], AppGetCountSucceed[479], ExpectRecv[479], NetRecv[479], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:29:23:0034] | GigEVisionManager.cpp-L2308: AppGetCount[482], AppGetCountSucceed[479], ExpectRecv[479], NetRecv[479], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
